match,date,venue,max_possible_pts,model_points,model_overlap,model_capture_pct,career_capture_pct,form_capture_pct,random_capture_pct
Lucknow Super Giants vs Chennai Super Kings,2025-04-14,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",631.5,410.5,8,65.0,73.24,59.22,62.79
Lucknow Super Giants vs Delhi Capitals,2023-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",843.5,705.5,7,83.64,87.85,83.28,31.54
Lucknow Super Giants vs Delhi Capitals,2024-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",662.5,492.5,7,74.34,67.55,66.64,17.58
Lucknow Super Giants vs Delhi Capitals,2025-03-24,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",899.0,797.5,9,88.71,59.45,75.58,54.45
Lucknow Super Giants vs Gujarat Titans,2024-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",774.5,564.0,7,72.82,38.54,72.43,28.47
Lucknow Super Giants vs Kolkata Knight Riders,2023-05-20,"Eden Gardens, Kolkata",741.0,637.5,7,86.03,48.25,60.12,35.56
Lucknow Super Giants vs Kolkata Knight Riders,2024-04-14,"Eden Gardens, Kolkata",691.5,465.5,8,67.32,76.5,61.32,35.5
Lucknow Super Giants vs Kolkata Knight Riders,2025-04-08,"Eden Gardens, Kolkata",858.5,735.0,7,85.61,50.73,83.23,63.77
Lucknow Super Giants vs Mumbai Indians,2023-05-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",723.5,536.5,7,74.15,43.54,62.61,37.66
Lucknow Super Giants vs Mumbai Indians,2025-04-04,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",839.0,792.0,8,94.4,39.15,70.38,55.48
Lucknow Super Giants vs Mumbai Indians,2024-05-17,"Wankhede Stadium, Mumbai",857.0,596.0,7,69.54,75.38,65.11,47.61
Lucknow Super Giants vs Punjab Kings,2023-04-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",710.5,653.5,9,91.98,66.01,76.57,27.16
Lucknow Super Giants vs Punjab Kings,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",768.5,621.5,7,80.87,77.03,66.56,27.59
Lucknow Super Giants vs Punjab Kings,2025-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",711.5,554.5,6,77.93,44.06,63.6,43.36
Lucknow Super Giants vs Punjab Kings,2023-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",902.0,784.0,9,86.92,59.59,59.7,38.47
Lucknow Super Giants vs Rajasthan Royals,2024-04-27,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",707.0,619.0,8,87.55,60.68,65.77,42.08
Lucknow Super Giants vs Rajasthan Royals,2023-04-19,"Sawai Mansingh Stadium, Jaipur",667.5,534.0,9,80.0,68.31,82.55,45.62
Lucknow Super Giants vs Royal Challengers Bengaluru,2024-04-02,"M Chinnaswamy Stadium, Bengaluru",764.5,723.5,8,94.64,86.2,90.39,42.51
